Sample1	Sample2	Q
A549_BR1	A549_BR2	0.97407874045475
A549_BR1	G401_BR1	0.532713480341338
A549_BR1	G401_BR2	0.44848560340492
A549_BR1	H1-hESC_BR1	0.132105516752097
A549_BR1	H1-hESC_BR2	0.0969584300611457
A549_BR1	HFFc6_BR1	-0.000982671963682
A549_BR1	HFFc6_BR2	0.320765949360726
A549_BR1	HFFc6_BR3	-0.0965049084215748
A549_BR1	LNCap_BR1	0.380183495384438
A549_BR1	LNCap_BR2	0.340358672633489
A549_BR2	G401_BR1	0.57105463201126
A549_BR2	G401_BR2	0.505925739711241
A549_BR2	H1-hESC_BR1	0.113434609231408
A549_BR2	H1-hESC_BR2	0.0956566301234249
A549_BR2	HFFc6_BR1	-0.0327774504534265
A549_BR2	HFFc6_BR2	0.251662072160546
A549_BR2	HFFc6_BR3	-0.118453030944253
A549_BR2	LNCap_BR1	0.544456317369875
A549_BR2	LNCap_BR2	0.514352805769675
G401_BR1	G401_BR2	0.985494713953243
G401_BR1	H1-hESC_BR1	0.317459985481023
G401_BR1	H1-hESC_BR2	0.367465341461231
G401_BR1	HFFc6_BR1	0.364297578453601
G401_BR1	HFFc6_BR2	0.569041948175293
G401_BR1	HFFc6_BR3	0.286567583331543
G401_BR1	LNCap_BR1	0.320661370883484
G401_BR1	LNCap_BR2	0.384550330938544
G401_BR2	H1-hESC_BR1	0.342282617770131
G401_BR2	H1-hESC_BR2	0.406286123161542
G401_BR2	HFFc6_BR1	0.437424327965389
G401_BR2	HFFc6_BR2	0.588986834451543
G401_BR2	HFFc6_BR3	0.381866535783373
G401_BR2	LNCap_BR1	0.349966192616184
G401_BR2	LNCap_BR2	0.415153367552492
H1-hESC_BR1	H1-hESC_BR2	0.983748339027713
H1-hESC_BR1	HFFc6_BR1	0.66578426201654
H1-hESC_BR1	HFFc6_BR2	0.638520313525082
H1-hESC_BR1	HFFc6_BR3	0.597528775572064
H1-hESC_BR1	LNCap_BR1	0.0457493305136626
H1-hESC_BR1	LNCap_BR2	0.0560448652821323
H1-hESC_BR2	HFFc6_BR1	0.722227681568947
H1-hESC_BR2	HFFc6_BR2	0.636248100114541
H1-hESC_BR2	HFFc6_BR3	0.658321633041742
H1-hESC_BR2	LNCap_BR1	0.0789423974139269
H1-hESC_BR2	LNCap_BR2	0.0949042906973503
HFFc6_BR1	HFFc6_BR2	0.812497398562502
HFFc6_BR1	HFFc6_BR3	0.969635851949448
HFFc6_BR1	LNCap_BR1	-0.155653230949167
HFFc6_BR1	LNCap_BR2	-0.16364751713636
HFFc6_BR2	HFFc6_BR3	0.748591109056642
HFFc6_BR2	LNCap_BR1	-0.0854907969472206
HFFc6_BR2	LNCap_BR2	-0.128473531123345
HFFc6_BR3	LNCap_BR1	-0.149171628012316
HFFc6_BR3	LNCap_BR2	-0.15357795869398
LNCap_BR1	LNCap_BR2	0.943509648638419
